Country,Date,Confirmed,Death,New Confirmed,New Death,Nr. Crt,Growth
France,3/25/2020,25600,1333,2978,231,85,479
France,3/26/2020,29551,1698,3951,365,86,973
France,3/27/2020,33402,1997,3851,299,87,-100
France,3/28/2020,38105,2317,4703,320,88,852
France,3/29/2020,40708,2611,2603,294,89,-2100
France,3/30/2020,45170,3030,4462,419,90,1859
France,3/31/2020,52827,3532,7657,502,91,3195
France,4/1/2020,57749,4414,4922,882,92,-2735
France,4/2/2020,59929,5398,2180,984,93,-2742
France,4/3/2020,65202,6520,5273,1122,94,3093
France,4/4/2020,69500,7574,4298,1054,95,-975
France,4/5/2020,71412,8093,1912,519,96,-2386
France,4/6/2020,75343,8926,3931,833,97,2019
France,4/7/2020,79163,10343,3820,1417,98,-111
France,4/8/2020,83057,10887,3894,544,99,74
France,4/9/2020,87366,12228,4309,1341,100,415
France,4/10/2020,91738,13215,4372,987,101,63
France,4/11/2020,94863,13851,3125,636,102,-1247
France,4/12/2020,121712,14412,26849,561,103,23724
France,4/13/2020,125394,14986,3682,574,104,-23167
France,4/14/2020,130365,15731,4971,745,105,1289
France,4/15/2020,133585,17169,3220,1438,106,-1751
France,4/16/2020,146075,17922,12490,753,107,9270
France,4/17/2020,148084,18683,2009,761,108,-10481
France,4/18/2020,148086,19325,2,642,109,-2007
France,4/19/2020,153011,19720,4925,395,110,4923
France,4/20/2020,155393,20267,2382,547,111,-2543
France,4/21/2020,158168,20798,2775,531,112,393
France,4/22/2020,155980,21342,-2188,544,113,-4963
France,4/23/2020,158303,21858,2323,516,114,4511
France,4/24/2020,159952,22248,1649,390,115,-674
France,4/25/2020,161644,22617,1692,369,116,43
France,4/26/2020,162220,22859,576,242,117,-1116
France,4/27/2020,165963,23296,3743,437,118,3167
France,4/28/2020,169053,23663,3090,367,119,-653
France,4/29/2020,166543,24090,-2510,427,120,-5600
France,4/30/2020,167299,24379,756,289,121,3266
France,5/1/2020,167305,24597,6,218,122,-750
